Exch,ScripCode,TradeDate,OpenRate,HighRate,LowRate,CloseRate,Qty
N,154,36639,27.35,27.35,25.2,25.2,250
N,154,36640,24,26,24,24.25,1101
N,154,36641,24.3,24.3,24.25,24.25,500
N,154,36642,25.75,26,25.75,26,100
N,154,36646,27.15,27.2,27.15,27.15,100
N,154,36648,27.45,27.45,27.45,27.45,1
N,154,36649,29.45,29.45,25.5,28.45,103
N,154,36653,26.2,26.2,26.2,26.2,356
N,154,36654,24.15,26.95,24.1,26.95,211
N,154,36656,28.9,28.9,26.95,26.95,2
N,154,36659,25.95,27.2,25,26.75,16
N,154,36660,25,26.9,25,25,14
N,154,36661,23.6,23.6,23.6,23.6,25
N,154,36667,24.5,25.5,24.5,25.5,50
N,154,36669,27.2,27.2,27.2,27.2,1
N,154,36673,26.5,26.5,25.5,25.5,150
N,154,36674,24.55,27.4,24.55,27.4,51
N,154,36675,29.25,29.25,27,27,151
N,154,36676,27.95,27.95,26,26,17
N,154,36677,27.95,27.95,25,27.95,5
N,154,36680,27.5,28.45,26,28.45,169
N,154,36681,26.5,26.5,26.5,26.5,37
N,154,36682,24.6,26,24.5,26,1025
N,154,36683,24.25,24.25,24.25,24.25,18
N,154,36684,25,25,25,25,100
N,154,36687,24.5,25.2,24.5,25.2,650
N,154,36688,24.75,26.85,24.75,26.85,718
N,154,36691,26,26,25.05,25.05,61
N,154,36694,24.5,26.95,24.5,25.5,243
N,154,36696,24.55,25,24.5,25,793
N,154,36698,26,26,26,26,50
N,154,36701,24.4,24.4,24.3,24.3,206
N,154,36702,24.5,25,24.5,24.5,479
N,154,36703,24.25,24.5,24.25,24.5,83
N,154,36704,24.5,24.65,24.5,24.65,32
N,154,36705,24.5,24.5,24.5,24.5,66
N,154,36708,24.5,25,24.5,24.7,236
N,154,36709,23,24.6,23,24.6,126
N,154,36710,24,24,24,24,50
N,154,36711,24,24,24,24,109
N,154,36712,24.5,24.5,24.5,24.5,16
N,154,36716,24.05,24.5,24,24.5,62
N,154,36717,23.25,23.75,23.25,23.75,148
N,154,36718,24,24,24,24,350
N,154,36719,23.5,23.5,23.5,23.5,59
N,154,36722,23.5,23.5,23.5,23.5,9
N,154,36723,23.55,23.55,23.55,23.55,25
N,154,36724,23.55,23.55,23.55,23.55,50
N,154,36730,22.55,22.55,22.5,22.5,63
N,154,36732,22.75,22.75,22.75,22.75,9
N,154,36736,22.5,22.5,22.5,22.5,67
N,154,36737,22.5,22.5,22.5,22.5,113
N,154,36740,21,21,21,21,150
N,154,36743,19.4,19.4,19.4,19.4,52
N,154,36744,19,19,19,19,100
N,154,36745,18,18,17.5,17.55,261
N,154,36746,18,18,17.3,18,75
N,154,36747,18.1,18.1,18.1,18.1,9
N,154,36750,21.4,21.4,19,19,43
N,154,36753,19,19,19,19,24
N,154,36754,20,20,19,19,200
N,154,36758,20,20,19,19,1800
N,154,36760,19.3,19.35,19.3,19.35,41
N,154,36761,18.8,19.15,18.8,19.15,273
N,154,36764,19.25,19.45,19.25,19.4,146
N,154,36765,19.25,19.5,19.25,19.5,18
N,154,36772,19.25,19.25,19,19,400
N,154,36773,18.7,18.7,18.5,18.55,305
N,154,36778,18.55,18.55,18.55,18.55,84
N,154,36779,18.5,18.5,18.5,18.5,50
N,154,36780,18,18,18,18,53
N,154,36781,18.05,18.05,18,18,2050
N,154,36782,17.6,17.6,17.6,17.6,65
N,154,36785,17.5,17.5,17,17,450
N,154,36786,18,18,18,18,200
N,154,36788,17,17,17,17,50
N,154,36800,16.25,16.25,16.25,16.25,50
N,154,36806,18,18,13,15.6,22
N,154,36807,17.5,17.5,15.5,15.75,300
N,154,36808,16,16,16,16,150
N,154,36809,13.1,13.1,13.1,13.1,16
N,154,36810,13.5,13.5,13.5,13.5,50
N,154,36813,13.05,13.05,13.05,13.05,19
N,154,36816,13,13,13,13,10
N,154,36817,15,15,15,15,118
N,154,36821,14,14,13,14,516
N,154,36822,15,15,13.5,13.5,1300
N,154,36823,14.5,15,14.5,14.65,151
N,154,36824,14,14,12,12,350
N,154,36827,15,15,15,15,1
N,154,36828,18.25,18.25,12,16.75,151
N,154,36829,19.75,19.75,15.7,18,1002
N,154,36830,22,22,22,22,1
N,154,36834,23.65,23.65,23.65,23.65,1
N,154,36836,25.5,25.5,25.5,25.5,1
N,154,36837,27.5,27.5,27.5,27.5,1
N,154,36885,25.3,25.3,25.3,25.3,32
N,154,36905,23.3,23.3,23.3,23.3,100
N,154,36908,21.45,21.45,21.45,21.45,50
N,154,36911,19.9,19.95,19.85,19.9,185
N,154,36912,19,19,14.95,17.15,864
N,154,36913,16,16,14.15,14.75,639
N,154,36914,14.1,15.2,13.9,14.95,925
N,154,36918,13.5,14,13.1,13.35,617
N,154,36919,14.75,15.05,14,14.05,380
N,154,36920,13.2,13.65,13.2,13.65,608
N,154,36921,12,12.5,12,12.3,433
N,154,36922,13.9,14,13.9,14,500
N,154,36925,13.9,13.9,12.6,12.7,290
N,154,36926,12.7,13,12.65,13,84
N,154,36927,13.05,13.1,13,13.1,287
N,154,36928,13,13,12.3,12.45,163
N,154,36929,12.45,13.6,12.45,13.6,393
N,154,36932,13.65,14,13.1,13.2,394
N,154,36933,13.1,13.35,13.1,13.25,660
N,154,36934,12.15,13.1,12.15,13.05,656
N,154,36935,13.05,13.75,13.05,13.75,200
N,154,36936,13.05,13.05,12.4,12.65,229
N,154,36939,12.8,12.8,12,12,370
N,154,36940,12.15,12.5,12.15,12.5,1180
N,154,36941,12.75,12.75,12.75,12.75,66
N,154,36942,12.75,12.75,12.75,12.75,350
N,154,36943,13.05,13.05,13.05,13.05,3
N,154,36946,13,13.5,13,13.5,56
N,154,36947,12.75,12.75,12.55,12.55,2026
N,154,36948,13,13.05,13,13.05,52
N,154,36949,12.2,12.2,12.2,12.2,11
N,154,36950,12.4,12.45,12.4,12.45,95
N,154,36953,12.35,12.35,11.1,11.1,300
N,154,36955,11,11,10.85,10.85,150
